n_features,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc,trial,ablation,bands,types
9,0.6701464521784963,0.3327823691460055,0.23045564993875134,0.27232386511947987,0.5373427081822091,0.6428128009228709,0.3171234537957798,0.31789448091417455,0.317508499271491,0.5949063504839602,5,Drop Beta,"delta,theta,alpha","slope,intercept,midband"
9,0.7728336283545952,0.43194128953346145,0.23801270941652225,0.3069091812030542,0.7264656071706976,0.4845380049657407,0.25226681030613163,0.06557224030709277,0.10408853081446497,0.36915582890032994,6,Drop Beta,"delta,theta,alpha","slope,intercept,midband"
9,0.3873541823321787,0.22573937153419593,0.08738464040330121,0.12599579115204024,0.32951232147369774,0.7407878985743824,0.33797034674227655,0.3120874924998636,0.3245136407464126,0.6433767157964284,7,Drop Beta,"delta,theta,alpha","slope,intercept,midband"
9,0.6940411031196755,0.5310584009413514,0.20619920165440292,0.29705714236225383,0.6683070053389659,0.5214654562211106,0.7327648450143159,0.24643305702084903,0.3688273442150443,0.6015241662812547,8,Drop Beta,"delta,theta,alpha","slope,intercept,midband"
9,0.7401583421503886,0.49879163993853776,0.5229526401401401,0.510586474661943,0.7190978200063178,0.7545570611649339,0.22207450992731506,0.42388888888888887,0.29145588569304787,0.6549421239415698,9,Drop Beta,"delta,theta,alpha","slope,intercept,midband"
9,0.7784767704622927,0.19305679667156708,0.38798130768933686,0.2578227757139466,0.6436154472373233,0.6141317577286508,0.04277301481604794,0.07966127969615937,0.05566010912684981,0.22767205475866398,10,Drop Beta,"delta,theta,alpha","slope,intercept,midband"
4,0.5358436613639166,0.12747763743484336,0.6655975098118825,0.21397416960523483,0.6578875803781896,0.6465298310935895,0.2936259775134115,0.7211675579322638,0.41733322444909593,0.7481275591384842,1,Slope only,"delta,theta,alpha,beta",slope
4,0.6225451744940599,0.24201232508125103,0.4792502196249188,0.3216150923083824,0.605174880511991,0.7043913101538505,0.4762183208066517,0.41333679936621115,0.44255505265041317,0.727502010564699,2,Slope only,"delta,theta,alpha,beta",slope
4,0.6836891081612466,0.16409222752077085,0.47304421768707483,0.24366171478629048,0.6292176798593854,0.7378473703672099,0.5040871139137035,0.46484143649383514,0.48366946778711484,0.7053120120674553,3,Slope only,"delta,theta,alpha,beta",slope
4,0.6351723080069537,0.3937827652272775,0.3052984672640909,0.343940787054064,0.6385380263647228,0.7584245641663915,0.17484271116862254,0.47488850106651154,0.2555850526054882,0.6956835838447214,4,Slope only,"delta,theta,alpha,beta",slope
4,0.6422221146554367,0.2842158228827992,0.2211880233749021,0.2487718941626859,0.5105308479306853,0.6345152728285894,0.2995096332131731,0.2975742953861116,0.2985388277786899,0.577648125015484,5,Slope only,"delta,theta,alpha,beta",slope
4,0.7686600948137297,0.41966162574746424,0.24748459464663972,0.3113553945505614,0.706196136542458,0.4907318606608911,0.28148164538756004,0.07421214136534938,0.1174569612247065,0.4084468664120796,6,Slope only,"delta,theta,alpha,beta",slope
4,0.3806277709979496,0.2319313769053921,0.0976135301052974,0.13739942545179862,0.3442296978914941,0.7312738056371749,0.32942217692730613,0.33499699994545357,0.3321862006017376,0.6370861875882774,7,Slope only,"delta,theta,alpha,beta",slope
4,0.6873112086166775,0.503237923815859,0.20617515510027412,0.29250985097031346,0.6337362315954084,0.5235343300031828,0.7408577650776067,0.24639119149292474,0.3697969519225634,0.6222499634267923,8,Slope only,"delta,theta,alpha,beta",slope
4,0.6913827980266012,0.4268260483425746,0.5562437437437437,0.48301620285485336,0.7138367810005757,0.7036792658634365,0.19038366622725086,0.45755255255255256,0.2688861339180538,0.6323311321783742,9,Slope only,"delta,theta,alpha,beta",slope
4,0.7691964456700755,0.1827547054859643,0.3823040976325648,0.24729416614100938,0.6318803757643815,0.5655690544158977,0.041865800038233605,0.0933612370654575,0.05780860049913611,0.2496512963265733,10,Slope only,"delta,theta,alpha,beta",slope
4,0.5495668393143421,0.13191075076608785,0.6711327649208283,0.2204852542983287,0.6720271174740394,0.6502062441659757,0.29997545894760785,0.7444444444444445,0.4276346384398452,0.7712274084853241,1,Intercept only,"delta,theta,alpha,beta",intercept
4,0.6248056819316286,0.24185042676614776,0.4729574882548413,0.3200439390023262,0.6024110008210848,0.7192843738798574,0.5068603467400058,0.412928302634185,0.4550979897269385,0.7469013676375004,2,Intercept only,"delta,theta,alpha,beta",intercept
4,0.6860399086546094,0.16509186091474237,0.4719671201814059,0.24461763344816695,0.6304282845215494,0.7348607674147396,0.49801079852230745,0.4717870026382383,0.4845443485954435,0.6943955957239135,3,Intercept only,"delta,theta,alpha,beta",intercept
4,0.6422026792105532,0.4056205328135153,0.30569022085108466,0.3486358939990506,0.6531948311480915,0.7839183960307179,0.1914245999939124,0.4573152995927865,0.26988134490083465,0.7085261700034697,4,Intercept only,"delta,theta,alpha,beta",intercept
4,0.652881983101258,0.30243091849588594,0.2265999959836938,0.259080681452909,0.5477940011128951,0.6330341823940874,0.29868145180077343,0.29973442555499447,0.29920701227054,0.5742814318816236,5,Intercept only,"delta,theta,alpha,beta",intercept
4,0.7689296832082037,0.4210430009149131,0.2492417677642981,0.3131251275770565,0.7168273605683353,0.48549438956555097,0.2661872052712043,0.07211779667938441,0.11348832939340386,0.3917409624887198,6,Intercept only,"delta,theta,alpha,beta",intercept
