n_features,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc,trial,feature_set
4,0.7419479541801461,0.397870259214797,0.4307962642018101,0.4136791253496059,0.7394294733577239,0.48346173928795966,0.37847597630065305,0.2042190252838158,0.26529142952414875,0.4423917264658988,6,Spectral Entropy
4,0.4066602566473133,0.35513721564197437,0.21344472903199577,0.26663585599906553,0.3721997813451672,0.6463951463706605,0.28278094390709735,0.5027409589265259,0.36196460567978206,0.6381169657778449,7,Spectral Entropy
4,0.6839688786357262,0.4948162600276051,0.38217990028695553,0.43126489596005735,0.6481936577095879,0.5492681744979834,0.68314298289457,0.3833877585196349,0.49114131790159044,0.6339291355667523,8,Spectral Entropy
4,0.7249626035243898,0.4745381975869725,0.5699527652652653,0.5178874065125864,0.6918905483861519,0.5985226431491197,0.15647853684215104,0.54006006006006,0.24265075440448763,0.5745876355181591,9,Spectral Entropy
4,0.633076716840936,0.12847834867456048,0.46682501062063103,0.20150031256511775,0.5732591147271787,0.45119664077540994,0.055342505588775195,0.17701430066271365,0.08432216883818175,0.26584433726196266,10,Spectral Entropy
6,0.1583040448883956,0.086107614583274,0.8184057382595751,0.1558207309185827,0.4177761062300671,0.19773626820606685,0.1564969603777306,0.8133541295306002,0.26248864450777687,0.2992875182220707,1,Emd
6,0.21031048346440814,0.18428779148751878,0.9499448264154147,0.30869017753829564,0.57736083599917,0.3032239019967529,0.28162150105944017,0.9377970885323826,0.43316351909981304,0.5568668327661246,2,Emd
6,0.16950698119412802,0.11926012227970413,0.9227556547988256,0.21122127830757945,0.5708154549089506,0.2756610821932095,0.25452950086354476,0.9032556219601932,0.39714658286332044,0.550221352971591,3,Emd
6,0.6541391383641306,0.4451948458584655,0.7548963218594225,0.5600840347628179,0.7012268023156425,0.45886357286189644,0.1204913970119663,0.8249466744231142,0.21027073113469832,0.7066869896900423,4,Emd
6,0.6724537597280712,0.1950120852559877,0.07128943510653252,0.10441022926133439,0.49409560685099085,0.6933531789675382,0.2592698453943095,0.09330640184031869,0.13722726116226458,0.5875105035915694,5,Emd
6,0.7719485645689638,0.3563945875163684,0.09826930483342962,0.15405951055680295,0.7009520392248074,0.517289515467323,0.21507631364324828,0.021538497438948978,0.039155795948669,0.39488585699924095,6,Emd
6,0.39254383261631515,0.08340038892241668,0.020226043826482906,0.03255655679237751,0.2978755424707043,0.7842855588203287,0.38746977025392987,0.13982981508754705,0.20549921840554733,0.6439629446106278,7,Emd
6,0.32327870005981013,0.3157882661840244,0.9929543596402636,0.4791825824931389,0.6541780901707273,0.567567374976841,0.5680539016132626,0.9925437494766809,0.7225672152182294,0.6377494113278148,8,Emd
6,0.2845415739355686,0.26252025521571803,0.9730198948948949,0.41348301164460044,0.6862378975274077,0.16984597008093097,0.12251504122691606,0.9689339339339339,0.21752547954810145,0.6408902715971845,9,Emd
6,0.8564096671645792,0.24829621912575423,0.22090912601861507,0.23380339260167587,0.6430833612432644,0.7106320122153621,0.022744462452728254,0.024473898383908847,0.023577508960573475,0.24115114287239875,10,Emd
5,0.16924738973157397,0.08829604798820131,0.8313032886723508,0.15963646806426002,0.4511891070719418,0.21033515328817343,0.16637724186187497,0.872415329768271,0.27945917267599135,0.36740221596367595,1,Dwt
5,0.18888479280096793,0.17712458588201235,0.9244291656056361,0.29728759566026225,0.4903280051699934,0.30854787357412444,0.27964630017365794,0.9109724697959992,0.42792888397854306,0.4747975493983224,2,Dwt
5,0.1623962288595888,0.11012949718248807,0.8404871190505727,0.19474185960726828,0.507783625828371,0.2709702193019882,0.23881360265916646,0.8046088407903946,0.36831014553475705,0.37255652061465283,3,Dwt
5,0.31945949898489384,0.2995048132682546,0.9959221897767159,0.4605176343825707,0.6147286432005312,0.13289220791316347,0.0890595857465397,0.9675925925925926,0.16310645496073417,0.42587495021326227,4,Dwt
5,0.4276021750004034,0.3022871766582991,0.8693495592103943,0.4485916423369955,0.6129878470443262,0.3311801309029764,0.2649365371654489,0.8785557986870897,0.40710641202023595,0.6012190476788447,5,Dwt
5,0.21559950355042828,0.21197394456573423,0.9979419410745234,0.34967338177432344,0.5935208796838594,0.45775124409918694,0.45711509560380015,0.9990082490345013,0.6272294897927415,0.6190831494904276,6,Dwt
5,0.5900381724870464,0.5523678677459235,0.9954344025694191,0.7104860730255732,0.8222541249173789,0.2546495810207857,0.1732692777461119,0.7254404625538646,0.2797266778316161,0.4258569376337118,7,Dwt
5,0.32508808170363335,0.3160805318313548,0.9904935956010837,0.4792315045888282,0.6112322055041699,0.558313262169776,0.5642915642915642,0.9720882525328645,0.7140697822821092,0.5487217336007464,8,Dwt
5,0.3719763581305411,0.2677430471352538,0.8202499374374375,0.4037088855830352,0.4815451921755061,0.1981843280726412,0.11687842548571406,0.8744594594594595,0.20619699161071153,0.42945259047762485,9,Dwt
5,0.1800126393197748,0.08532648811819013,0.7477889777159851,0.15317494378311455,0.4948010418037967,0.2980730930093607,0.1654303333631245,0.9684339030345309,0.28258822930714234,0.47362736324036425,10,Dwt
