trial,model,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc
4,Random Forest,0.6531010328254423,0.43935667504905074,0.3892806424758827,0.41280556673460644,0.6711609858169254,0.6937903765229834,0.12257829038615957,0.40701958503005625,0.1884137652457839,0.6149627176988501
4,KNN (k=5),0.5647,0.5759211452710631,0.4908,0.5299643666990606,0.59342248,0.5347,0.534958694338102,0.531,0.5329719963866305,0.55237686
5,Logistic Regression,0.6720880326572761,0.3425591882750846,0.24407092796754826,0.28504755092228856,0.5916209153485658,0.6449488950478788,0.3298686312799574,0.34751912323028294,0.33846392043643386,0.5953585185079241
5,Linear SVM,0.67494930915232,0.33870478731467724,0.22434082374440228,0.26990819038415076,0.5868829349328193,0.6518117695364627,0.32602691426220837,0.31128317342759354,0.3184845005740528,0.5933047345755668
5,Random Forest,0.6709128655253831,0.4074943353934364,0.5038054501275178,0.450560551706798,0.6573672052359988,0.5739127671950689,0.3093887339717303,0.5115019918083376,0.3855639945724003,0.5871422483150456
5,KNN (k=5),0.5515,0.5573624415237246,0.5004,0.5273474549478343,0.57548046,0.5451,0.5474237644584647,0.5206,0.5336750384418247,0.56562782
6,Logistic Regression,0.773792447455696,0.4407664447726767,0.2621798575004814,0.3287877987487831,0.7414356341580719,0.48497756891829974,0.2730793926966176,0.07691320428903123,0.12002203074290033,0.4042425111844833
6,Linear SVM,0.7754328674032025,0.4416625610247682,0.23736279607163488,0.3087786319299839,0.7386069242675916,0.48854203296996046,0.2627269162457039,0.06644731468841518,0.10606843695726066,0.3964927625124919
6,Random Forest,0.6999354005167958,0.3119820683858314,0.34843780088580784,0.32920374108081984,0.6646997976693956,0.490761164924395,0.4273559631406954,0.33873545918069703,0.37791995626167496,0.46878871696146457
6,KNN (k=5),0.5564,0.5701492537313433,0.4584,0.5082039911308204,0.58367614,0.4768,0.474210760337928,0.4266,0.4491471888818699,0.47229615999999996
7,Logistic Regression,0.4026848119522207,0.2574815264264199,0.09661340813920397,0.14050564056476597,0.3929704246900493,0.7367368592882795,0.3318406889128095,0.31529209621993126,0.3233548008139462,0.608390961054673
7,Linear SVM,0.403681241242722,0.24185292711649004,0.08433142253120299,0.1250568974820415,0.3813127315441612,0.7457177059527696,0.33968274192520864,0.2908416516663939,0.3133705553923009,0.6121980678597494
7,Random Forest,0.4208095525724312,0.3689361453866573,0.20567548888075782,0.2641127242922103,0.40156420331131243,0.6571090434214822,0.28181795600009935,0.46413571155839195,0.3506967878210247,0.6250258710382909
