paradigm,strategy,model,accuracy,accuracy,precision,precision,recall,recall,specificity,specificity,f1,f1,auroc,auroc,brier_score,brier_score,ece,ece
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
spectral_slope,downsample_2x,AdaptiveNN,0.5978557911068835,0.12294571582916414,0.5844828733654144,0.1413908411037437,0.8127657928507543,0.1738501229089822,0.39804894339021296,0.23056240909112036,0.6560659776127334,0.11653426364430289,0.6675685056724958,0.15428801181872132,0.238748381761778,0.0385302430733591,0.17351454696609112,0.08585520143555175
spectral_slope,downsample_2x,LogisticRegression,0.5894482384948372,0.13245726095201932,0.5815549609565086,0.14285412752258733,0.8034218073742082,0.19311306767951633,0.392842410248596,0.2587863714939153,0.6478525291689772,0.12444844521815204,0.6718700081437599,0.15805424471936394,0.23900338820360548,0.019957736860566178,0.17517261013534788,0.07244492636500027
spectral_slope,downsample_2x,RandomForest,0.5837616920437321,0.13991026629950337,0.5698616763817852,0.14817719886701014,0.8651878384796342,0.19120741835320296,0.3067955204808474,0.26075093923626413,0.6632362215706362,0.12385528249809905,0.6773105354960156,0.1302844934304818,0.234558620383644,0.01960238226929347,0.17659546685802335,0.06428253371252658
spectral_slope,downsample_2x,XGBoost,0.5863048618490899,0.14112907548908135,0.5712892933859195,0.15212603016776538,0.8738422912806009,0.1776592262865646,0.3005155886191746,0.2641503601674817,0.668116481013557,0.12327965773719864,0.6811815323909046,0.12340320885194282,0.23327581920420837,0.019418719503206897,0.1783348572149466,0.06065139188637387
spectral_slope,weighted_sampler,AdaptiveNN,0.5954542304266037,0.24782617156477496,0.41053207309148465,0.2874241006561775,0.5769006202313542,0.30935927929291107,0.6202511856776985,0.35484479939136987,0.3975471396536885,0.2038860121310861,0.6446182433537139,0.2127476132470489,0.22357969233092181,0.0356844907280608,0.2479820141741949,0.1026546344971953
spectral_slope,weighted_sampler,LogisticRegression,0.6290438509564966,0.22620156187672882,0.40931254142482854,0.2685415646333927,0.6243158949302087,0.32962226777272857,0.5989113627818735,0.35759500340438405,0.4330891488248733,0.22548063142543853,0.6511807194033689,0.21786307257097587,0.2374299109850006,0.011944380700179861,0.2681664487577637,0.11920139212226823
spectral_slope,weighted_sampler,RandomForest,0.5920583734436391,0.22566763188720718,0.39843692841829165,0.29787520185952576,0.6067450318795171,0.30126405344602125,0.577095977738649,0.32613830570940294,0.4021455911482173,0.21991430228372177,0.6442752354277618,0.18137694932063236,0.23568319371900479,0.017462733793917093,0.2692406228186147,0.11648812578479677
spectral_slope,weighted_sampler,XGBoost,0.6029964695359674,0.22218573758432736,0.39880885187881676,0.2907150251319484,0.6005868807751579,0.2919214913280231,0.5884186027196653,0.32617332905575086,0.4068455889355221,0.2184263659899139,0.6474253086213169,0.17390991143950194,0.2355957244929477,0.01764579858555134,0.2680679768202424,0.11673104480962859
wavelet,downsample_2x,AdaptiveNN,0.5767318709268553,0.1030269117954636,0.5822919812727844,0.1448181091343772,0.7345185806359454,0.26112531024410046,0.446439855712821,0.28042312998735663,0.6044030858364666,0.15168495070367954,0.6775598545557335,0.061872333551242095,0.23367097486929933,0.011181719203251029,0.14340400831534222,0.056943575905375264
wavelet,downsample_2x,LogisticRegression,0.560466007826503,0.11901361718200325,0.5531014800281884,0.15466930095099596,0.7821813751167279,0.25672138150743873,0.3505877084353467,0.282282117899191,0.6073674043036299,0.18112686541908954,0.6456977976036173,0.08302389995636034,0.24185344448965762,0.007993917982016933,0.15181551587042683,0.057110679162504584
wavelet,downsample_2x,RandomForest,0.5280950808985516,0.13179045125664088,0.5503421378904835,0.15555461780550114,0.7909966867592424,0.2761262189028485,0.2989296288214269,0.31904366229666015,0.5968862995053896,0.155356348944749,0.6386483733272489,0.05292492066626542,0.240113162180708,0.009395726095642177,0.1425788986245442,0.05805854559247692
wavelet,downsample_2x,XGBoost,0.5617463924189251,0.10253929346547327,0.5681684864346114,0.14370009536983844,0.7629537748364206,0.2747204658311842,0.3726634263154227,0.29529281618066855,0.6013811459131733,0.16188649094629923,0.6553398609842356,0.05533886020055344,0.2376398965051088,0.010749868833816428,0.14718310642491983,0.0553330445397837
wavelet,weighted_sampler,AdaptiveNN,0.5873918354684124,0.20355771422310984,0.3799224759514367,0.18660758481113418,0.6068308670559142,0.24600843221282134,0.588674444627304,0.29786170850196975,0.40574011946824634,0.13460757904900456,0.683040400400654,0.06093736080836126,0.22493630650635335,0.015581778048619661,0.2353322736978447,0.11330874922153233
wavelet,weighted_sampler,LogisticRegression,0.5082119493299977,0.18418486285675503,0.28604970922899386,0.20168955640825229,0.6580417416566441,0.2975773703382263,0.44321695933949545,0.30110135878315036,0.36482569191846376,0.19660227816308284,0.5964292784647515,0.09605298280173687,0.24144525037527673,0.005685121456568562,0.25899882212793635,0.10367262344364496
wavelet,weighted_sampler,RandomForest,0.5428662021480983,0.18046075699724354,0.3082626730773217,0.16837454705977245,0.6239105043190941,0.3259164619454864,0.47951562091043015,0.3394156157659374,0.3633347988840106,0.19710550260189358,0.628395041827446,0.0916309725899561,0.23458845857436975,0.009136627161596559,0.24598905690148207,0.11017000692219554
wavelet,weighted_sampler,XGBoost,0.5749752449573895,0.19495054219165617,0.34825666368090713,0.20473655259743992,0.5778532388918949,0.30739140067055337,0.5643916072872883,0.30806295226171737,0.36951221889901253,0.1815468802447679,0.6354034629839702,0.09265557843335817,0.2337102313000544,0.010424708534214316,0.24511601516159068,0.11198248193774045
