trial,paradigm,strategy,model,ma_window,threshold,accuracy,precision,recall,specificity,f1,auroc,brier_score,ece
3,spectral_slope,weighted_sampler,XGBoost,20,0.57,0.8064799802789392,0.838587240619105,0.3310989070155602,0.9771232356029712,0.4747518287151708,0.6645768446817449,0.21783050163059886,0.25005732451789914
4,spectral_slope,weighted_sampler,AdaptiveNN,18,0.4,0.3090418010786829,0.10414329975902009,0.9092495636998255,0.25161188574397225,0.1868816197204149,0.8023226901519861,0.18888211192803345,0.3541057584032201
4,spectral_slope,weighted_sampler,LogisticRegression,20,0.47,0.5513390400230299,0.15173252378853908,0.9013476827612953,0.5178490254469215,0.25974044116619865,0.8561307922251838,0.2252277190907044,0.39991789802397637
4,spectral_slope,weighted_sampler,RandomForest,20,0.46,0.4003700034714284,0.11700626016723319,0.8961120806670545,0.35293571938808643,0.2069861318731769,0.754424118374145,0.22419215742217638,0.3954442920416957
4,spectral_slope,weighted_sampler,XGBoost,20,0.46,0.42881878296798664,0.12014517126087622,0.8762361838278069,0.3860083678903083,0.21131576947583167,0.7517053529195507,0.2232265493226093,0.394171202178257
5,spectral_slope,weighted_sampler,AdaptiveNN,1,0.23,0.37143841743287437,0.286983028739136,0.9463988479305766,0.167993514658196,0.4404157591608227,0.6078564668229866,0.2248668074607849,0.18231965514479104
5,spectral_slope,weighted_sampler,LogisticRegression,18,0.44,0.32867009810391096,0.27858296901729707,0.9867867362396903,0.09580107206670638,0.4345006485084306,0.6224782145671068,0.23914890276443096,0.2264725263781864
5,spectral_slope,weighted_sampler,RandomForest,20,0.49,0.4817332179744744,0.2921749514616854,0.6909517664441078,0.40770299781616043,0.4106872392873321,0.611310149767567,0.22847514345692793,0.20830373231379
5,spectral_slope,weighted_sampler,XGBoost,20,0.49,0.47114317696342245,0.28824931511089785,0.6966092502197535,0.3913639070875521,0.4077684783263177,0.6049278008889684,0.2311570011901187,0.208290093100822
6,spectral_slope,weighted_sampler,AdaptiveNN,20,0.44,0.4310177637117313,0.34500073518600205,0.2737641032821123,0.5631796742466586,0.30528178405771644,0.3701102260740444,0.2738556994556652,0.1503268448347756
